[epoch 0 iteration 0151]loss 1.536 | overlap 0.147
[epoch 0 iteration 0152]loss 1.494 | overlap 0.206
[epoch 0 iteration 0153]loss 1.544 | overlap 0.119
[epoch 0 iteration 0154]loss 1.549 | overlap 0.119
[epoch 0 iteration 0155]loss 1.513 | overlap 0.178
[epoch 0 iteration 0156]loss 1.557 | overlap 0.128
[epoch 0 iteration 0157]loss 1.484 | overlap 0.187
[epoch 0 iteration 0158]loss 1.564 | overlap 0.131
[epoch 0 iteration 0159]loss 1.482 | overlap 0.212
[epoch 0 iteration 0160]loss 1.530 | overlap 0.119
[epoch 0 iteration 0161]loss 1.480 | overlap 0.194
[epoch 0 iteration 0162]loss 1.481 | overlap 0.191
[epoch 0 iteration 0163]loss 1.467 | overlap 0.228
[epoch 0 iteration 0164]loss 1.487 | overlap 0.169
[epoch 0 iteration 0165]loss 1.484 | overlap 0.191
[epoch 0 iteration 0166]loss 1.466 | overlap 0.219
[epoch 0 iteration 0167]loss 1.443 | overlap 0.184
[epoch 0 iteration 0168]loss 1.527 | overlap 0.141
[epoch 0 iteration 0169]loss 1.529 | overlap 0.169
[epoch 0 iteration 0170]loss 1.550 | overlap 0.156
[epoch 0 iteration 0171]loss 1.525 | overlap 0.141
[epoch 0 iteration 0172]loss 1.505 | overlap 0.156
[epoch 0 iteration 0173]loss 1.586 | overlap 0.097
[epoch 0 iteration 0174]loss 1.472 | overlap 0.200
[epoch 0 iteration 0175]loss 1.527 | overlap 0.122
[epoch 0 iteration 0176]loss 1.443 | overlap 0.231
[epoch 0 iteration 0177]loss 1.490 | overlap 0.219
[epoch 0 iteration 0178]loss 1.517 | overlap 0.150
[epoch 0 iteration 0179]loss 1.475 | overlap 0.172
[epoch 0 iteration 0180]loss 1.554 | overlap 0.141
[epoch 0 iteration 0181]loss 1.525 | overlap 0.166
[epoch 0 iteration 0182]loss 1.488 | overlap 0.178
[epoch 0 iteration 0183]loss 1.505 | overlap 0.137
[epoch 0 iteration 0184]loss 1.429 | overlap 0.194
[epoch 0 iteration 0185]loss 1.508 | overlap 0.181
[epoch 0 iteration 0186]loss 1.532 | overlap 0.122
[epoch 0 iteration 0187]loss 1.492 | overlap 0.187
[epoch 0 iteration 0188]loss 1.435 | overlap 0.203
[epoch 0 iteration 0189]loss 1.467 | overlap 0.191
[epoch 0 iteration 0190]loss 1.528 | overlap 0.156
[epoch 0 iteration 0191]loss 1.518 | overlap 0.163
[epoch 0 iteration 0192]loss 1.499 | overlap 0.153
[epoch 0 iteration 0193]loss 1.467 | overlap 0.181
[epoch 0 iteration 0194]loss 1.564 | overlap 0.119
[epoch 0 iteration 0195]loss 1.491 | overlap 0.187
[epoch 0 iteration 0196]loss 1.481 | overlap 0.159
[epoch 0 iteration 0197]loss 1.509 | overlap 0.153
[epoch 0 iteration 0198]loss 1.478 | overlap 0.203
[epoch 0 iteration 0199]loss 1.527 | overlap 0.141
[epoch 0 iteration 0200]loss 1.495 | overlap 0.131
[epoch 0 iteration 0201]loss 1.500 | overlap 0.163
[epoch 0 iteration 0202]loss 1.532 | overlap 0.153
[epoch 0 iteration 0203]loss 1.447 | overlap 0.228
[epoch 0 iteration 0204]loss 1.466 | overlap 0.191
[epoch 0 iteration 0205]loss 1.481 | overlap 0.184
[epoch 0 iteration 0206]loss 1.508 | overlap 0.153
[epoch 0 iteration 0207]loss 1.482 | overlap 0.197
[epoch 0 iteration 0208]loss 1.529 | overlap 0.150
[epoch 0 iteration 0209]loss 1.532 | overlap 0.134
[epoch 0 iteration 0210]loss 1.436 | overlap 0.194
[epoch 0 iteration 0211]loss 1.536 | overlap 0.169
[epoch 0 iteration 0212]loss 1.475 | overlap 0.197
[epoch 0 iteration 0213]loss 1.467 | overlap 0.203
[epoch 0 iteration 0214]loss 1.484 | overlap 0.153
[epoch 0 iteration 0215]loss 1.522 | overlap 0.172
[epoch 0 iteration 0216]loss 1.567 | overlap 0.116
[epoch 0 iteration 0217]loss 1.562 | overlap 0.163
[epoch 0 iteration 0218]loss 1.540 | overlap 0.153
[epoch 0 iteration 0219]loss 1.477 | overlap 0.200
[epoch 0 iteration 0220]loss 1.509 | overlap 0.144
[epoch 0 iteration 0221]loss 1.518 | overlap 0.128
[epoch 0 iteration 0222]loss 1.579 | overlap 0.109
[epoch 0 iteration 0223]loss 1.455 | overlap 0.197
[epoch 0 iteration 0224]loss 1.472 | overlap 0.159
[epoch 0 iteration 0225]loss 1.439 | overlap 0.212
[epoch 0 iteration 0226]loss 1.574 | overlap 0.119
[epoch 0 iteration 0227]loss 1.463 | overlap 0.187
[epoch 0 iteration 0228]loss 1.541 | overlap 0.094
[epoch 0 iteration 0229]loss 1.478 | overlap 0.169
[epoch 0 iteration 0230]loss 1.533 | overlap 0.134
[epoch 0 iteration 0231]loss 1.542 | overlap 0.172
[epoch 0 iteration 0232]loss 1.454 | overlap 0.200
[epoch 0 iteration 0233]loss 1.543 | overlap 0.119
[epoch 0 iteration 0234]loss 1.489 | overlap 0.194
[epoch 0 iteration 0235]loss 1.487 | overlap 0.153
[epoch 0 iteration 0236]loss 1.497 | overlap 0.178
[epoch 0 iteration 0237]loss 1.536 | overlap 0.122
[epoch 0 iteration 0238]loss 1.467 | overlap 0.222
[epoch 0 iteration 0239]loss 1.441 | overlap 0.241
[epoch 0 iteration 0240]loss 1.466 | overlap 0.175
[epoch 0 iteration 0241]loss 1.493 | overlap 0.169
[epoch 0 iteration 0242]loss 1.513 | overlap 0.147
[epoch 0 iteration 0243]loss 1.459 | overlap 0.222
[epoch 0 iteration 0244]loss 1.501 | overlap 0.181
[epoch 0 iteration 0245]loss 1.497 | overlap 0.166
